entity_id,body_value
157," 
Швейцария, 2009
Студия: Atlantis Pictures, Centauri Media
Дата премьеры: 2009-09-24
Создатели: Ральф Эттер (Ralph Etter), 
Арнольд Бучер (Arnold Bucher), 
Иван Энглер (Ivan Engler), 
Патрик Стейнманн (Patrik Steinmann), 
Джонни Хартманн (Johnny Hartmann)
	<br>
Год 2267. Земля стала необитаемой из-за экологической катастрофы, 
а выжившие живут в переполненных космических станциях на орбите Земли. 
Молодой доктор Лора Портман одна из них. Она надеется на лучшее будущее 
далекой планеты Рея. Но чтобы попасть на нее — нужны деньги. Лаура 
подписывает контракт и устраивается в корпорацию «Койпер» для работы 
на старом грузовом корабле «Кассандра», который проделает путь к 
станции № 42 и обратно за 8 лет. Полет полностью автоматический, 
во время которого члены экипажа проводят большую часть в состоянии 
глубокого сна, пока один дежурит 8,5 месяцев. Из-за террористической 
угрозы на корабле присутствует дополнительно Самуэль Деккер, ответственный 
за безопасность. К концу своей смены, Лора Портман слышит необычный шум из 
грузового отсека. Она поднимает членов экипажа, чтобы исследовать холодные 
грузовые трюмы корабля. После первых смертей, все начинают не доверять друг 
другу. Лаура и Самуэль раскрывают истинное содержание груза 
и назначение корабля…
	<br>
Фантастика
	<br>avi"
158," 
США, 2000
Студия: Columbia Tristar Home Video
Создатели: Гай Ритчи (Guy Ritchie)
	<br>
Четырехпалый Фрэнки должен был переправить краденный алмаз из Англии в США своему боссу Эви. Но вместо этого герой попадает в эпицентр больших неприятностей. Сделав ставку на подпольном боксерском поединке, Фрэнки попал в водоворот весьма нежелательных событий. Вокруг героя и его груза развертывается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера, троих незадачливых грабителей, хитрого боксера по прозвищу Микки Один Удар, угрюмого громилы грозного мафиози Кирпича, каждый из которых норовит в одиночку сорвать Большой Куш. Настолько же опасная, настолько и анекдотичная, ситуация постепенно выходит из-под контроля и превращается в огромный ком проблем для ее участников, скоро катящийся к неожиданному и остроумному финалу...
	<br>
Криминал, Комедия
	<br>avi"
159," 
Великобритания, 1998
Студия: Summit Intertainment
Создатели: Гай Ритчи (Guy Ritchie)
	<br>
Потеряв миллион, можно все с лихвой вернуть. 
Стрельба, наркотики, азартные игры, философские размышления 
делают эту картину взрывной смесью ""Криминального чтива"", ""Отчаянного"" и ""На игле"".
	<br>
Комедия, Боевик
	<br>avi"
160," 
США, Великобритания, 2005
Студия: Company Pictures
Создатели: Том Хупер (Tom Hooper)
	<br>
Елизавета I царствует 30 лет и все эти годы отказывается выйти замуж, 
а без законного наследника стране грозит война за трон. 
Королева принимает предложение герцога Анжуйского, брата короля Франции, 
но под давлением графа Лестера, своего старого возлюбленного, отказывает жениху.
Елизавета узнает о заговоре, во главе которого стоит ее двоюродная сестра 
Мария Шотландская. Поддавшись давлению двора, Елизавета соглашается на суд, 
но медлит с казнью Марии. Придворные в тайне от королевы приводят приговор в 
исполнение. Эта казнь становится причиной войны с Испанией. 
Когда испанцы были разбиты, а Англия праздновала победу, внезапно умер граф Лестер. 
Но ко двору прибывает его пасынок - юный граф Эссекс...
	<br>
Мелодрама, Исторический
	<br>avi"
161," 
Германия
2008
Режиссер: Нееле Вольмар (Neele Volmar)
	<br>
В 1961 году Ирен (К. Шуберт) со своим мужем Дитером (О.Стоковски) 
и дочерьми Васой (Л.Брилл) и Утой (Н.Монка) переезжают из Восточной Германии (ГДР) 
в Западную Германию (ФРГ), где у них вскоре рождается сын Флори (Т. Веккер). 
Дитер уезжал к брату Карлу (А. Праль), а Ирен пришлось оставить свою мать и сестру. 
Она даже боялась попрощаться с матерью, чтобы её не расстроить.
Действие фильма происходит в 1968-69 годах, спустя более 7 лет после их приезда. 
Дитер с Карлом работают в компании Телефункен, а Ирен после переезда стала домохозяйкой. 
Семья живёт в достатке и скоро переедет в собственнoe жильё. У них преданные и дружные дети 
приятной наружности. Многим эта семья возможно кажется образцовой, но это не так.
Ирен сильно переживает разлуку с близкими, к которым не может приехать даже на 
короткое время. Она никак не может приобщиться к новой жизни, и восхваляет всё, 
что связано с ГДР. С другой стороны она страдает панической боязнью перед приходом советских танков, 
навеенной впечатлениями детстких лет. Эта боязнь чуть не погубила её и детей. 
Её отношения с мужем тоже оставляют желать лучшего.
Неразлучные Ута и Васа также не могут найти общий язык со сверстниками, которые их дразнят 
""русскими"" и относятся с высокомерием. Кроме того они очень болезненно воспринимают состояние 
их матери и всячески пытаются ей помочь.
	<br>
Драма
	<br>avi"
162," 
Россия, ООО Студия ""Сентябрь""
2010
	<br>
К 86-летию Виктора Астафьева. Он пришел на фронт в 1942 году добровольцем, 
простым солдатом, был трижды ранен и закончил войну в том же звании. 
Первый рассказ Виктора Петровича Астафьева ""Сибиряк"" появился в 1951 году, 
и произошло это на следующую ночь после того, как ему попалось на глаза в 
местной газете ""отлакированное"" произведение писателя-фронтовика о войне. 
С тех пор Виктор Астафьев старался писать о том трагическом времени только правду. 
""Виктор Астафьев. Другая война"" - это фильм о той Великой Отечественной, которую 
известный русский писатель прошел лично. В основу ленты легла редкая запись, 
сделанная за два года до смерти Астафьева.
Как приходили на фронт новобранцы? Они появлялись из ""чертовой ямы"", так называемых 
запасных полков, описанных в романе ""Прокляты и убиты"". 
Ребят 1924 года рождения, среди которых был и Виктор Астафьев, перед отправкой на фронт 
держали в нечеловеческих условиях в этой самой ""чертовой яме"", а их подготовкой к бою была 
лишь возможность пару раз выстрелить из винтовки. На фронт прибывали истощенные, голодные 
люди, которых сразу же бросали в бой, и они бессмысленно погибали, а из запасных полков 
прибывал ""25-ый год рождения"". 
Астафьев рассказывает и о том, как на войне ""не только воевали, но и жили"".
	<br>
Документальный
	<br>avi"
163," 
Год выхода: 2008
Режиссер: Вадим Гасанов
	<br>
В мае-сентябре 1939 г. на берегу маленькой реки Халха (Халхин-Гол, ""гол"" - по-монгольски ""река"") 
на восточном выступе Монголии полыхали боевые образ действий между частями Красной и 
Квантунской армий, усиленных, должно, монгольскими и баргутскими 
(баргуты - народ Внутренней Монголии, входившей в соединение Маньчжоу-го) частями. 
По советским официальным источникам, ко времени заключительной смелый операции 
57-тысячной советской армии противостояла 75-тысячная, хорошо оснащенная японская. 
С каждой стороны были задействованы сотни самолетов, танков и орудий. 
И хотя дипломатические связи между СССР и Японией не были разорваны, 
это была настоящая война с многочисленными для обоих сторон потерями. 
В фильме использовано большое число хроники, а вот и все комментарии ветеранов, 
участников тех событий и историков.
	<br>
Документальный
	<br>avi"
164," 
Испания, Португалия, 1996
Студия: CARTEL (Creativos Asociados de Radio y Television) S.A.
Создатели: Пилар Миро (Pilar Miro)
	<br>
Комедия по мотивам пьесы испанского драматурга Лопе де Вега.
 Увлекательная история капризной, вспыльчивой красавицы Дианы и 
ее отчаянно влюбленного секретаря Теодоро...
	<br>
Комедия
	<br>avi"
165,"
Гендель
1984
Либретто Nicola Haym, совместно с Noel Davis and Sir Charles MacKerras, 
английский перевод Brian Trowell. 
Оркестр и хор Английской Национальной оперы, дирижер: Sir Charles Mackerras. 
Хормейстер: Victor Morris, 
художник: John Pascoe, 
костюмы Michael Stennett. 
Продюсер: John Copley. 
Режиссер телеверсии: John Michael Phillips. 
Режиссер: John Michael Phillips
	<br>
Фрагменты
Опера в трех действиях Георга Фридриха Генделя; либретто Н. Хайма по драме Дж. Ф. Буссани.
Юлий Цезарь с триумфом вступает в Египет, преследуя бежавшего туда Помпея, 
который ищет убежища у царя египтян Птолемея. 
Корнелия, жена Помпея, просит Цезаря пощадить супруга. 
Великодушный Цезарь соглашается. Но вероломный Птолемей, желая угодить римскому полководцу, 
убивает Помпея. 
Корнелия и её сын Секст клянутся отомстить за смерть мужа и отца. 
Тем временем сестра Птолемея Клеопатра, мечтающая о египетском престоле, 
пытается завоевать сердце Цезаря, воспользовавшись его гневом по поводу 
поступка брата. Тот обещает ей свою помощь. 
Клеопатра легко склоняет на свою сторону Корнелию и Секста, обещая помощь в убийстве Птолемея. 
Покушение не удаётся, и Птолемей заковывает Корнелию в цепи. 
Отныне она будет рабыней. Египетский военачальник Акилла предлагает ей свободу взамен любви, 
но та отвергает его. 
Цезарю угрожает опасность. Во время свидания с Клеопатрой его предупреждают, 
что воины Акиллы бегут сюда с намерением убить его; он вынужден скрыться. 
Птолемей домогается любви Корнелии. Желая защитить мать, Секст хочет убить Птолемея, 
но Акилла спасает царя и сообщает ему о гибели пытавшегося бежать Цезаря. 
В награду он требует Корнелию, но Птолемей, в своё время обещавший ему Корнелию, отказывает полководцу. 
Акилла взбешён и решает изменить царю, перейдя к восставшей Клеопатре. 
В битве Птолемей одерживает победу. Акилла смертельно ранен. 
Перед смертью он вручает Сексту перстень - знак власти над войском. 
Весть о гибели Цезаря оказывается ложной, и Секст отдаёт ему перстень. 
Цезарь с войском врывается во дворец Птолемея и освобождает захваченную в плен Клеопатру. 
Секст убивает ненавистного Птолемея. Цезарь передаёт власть в Египте Клеопатре, 
которая признаёт господство Рима над Египтом. 
Отныне закончены распри. Народ ликует.
	<br>
	<br>avi"
166,"
Моцарт
Год выпуска: 2001
Режиссер: Jurgen Flimm
 	<br><br>
опера
	<br>avi"
167,"
 	<br>
Запись концертного исполнения на фестивале в Вербье 20 июля 2009 г.
Тот самый случай, когда концертное исполнение оперы смотрится интересней многих сценических постановок с костюмами и декорациями. И это несмотря на то, что буквально за несколько дней до спектакля сразу три солиста (Эдита Груберова, Сьюзен Грэхем и Мэтью Поленцани) заявили о невозможности участвовать в постановке, и устроителям ежегодного фестиваля на швейцарском курорте Вербье пришлось в самом прямом смысле ""на лету"" искать исполнителей на замену и доставлять их частными самолетами к месту работы. Таким образом в последний момент в проект попали Анна Самуил, Аннет Даш и Михаэль Шаде.
Брин Терфел много лет поет Дона Жуана, у него, пожалуй, уже нет прежней легкости в голосе, но в этой роли он по-прежнему харизматичен и обаятелен. Кстати, прошел слух, что Терфел спел Дона Жуана в последний раз. Рене Папе сейчас на вершине карьеры, Лепорелло в его исполнении звучит поистине царственно, что слуге, видимо, все же не по чину. Интересно бы их с Терфелем поменять ролями. Михаэль Шаде - опытный моцартовский тенор, спел твердо и крепко, заслужив за каждую арию овации зала. Молодой канадский бас-баритон Роберт Гледоу запомнился в партии Мазетто. Томас Кастхофф - это особая статья, всю жизнь он сражается с тяжелым недугом, и за каждое выступление в спектакле или концерте он заслуживает глубочайший респект.
Россиянка Анна Самуил, на лету заменившая Эдиту Груберову, спела весьма удачно, разве что во второй арии было заметно, что ей местами трудно. Пожалуй, лучшей Донны Анны среди соотечественниц я давно не слышал, даже Анне Нетребко в этой партии не удавалось настолько точно попадать в образ. Больше вокальных проблем было у Аннет Даш, однако ей достаточно успешно удалось спрятать их за яркой характерностью. Сильвия Шварц в партии Церлины пришлась вполне к месту.
Хор и оркестр под управлением Манфреда Хонека в данных обстоятельствах заслуживают всяческих похвал, за исключением нескольких мелких огрехов, которыми вполне можно пренебречь.
	<br>
опера
	<br>avi"
168,"
Джоаккино Россини
Год выпуска: 1989
Режиссёр: Джон Кокс, Брайан Лардж
Хор и оркестр: Метрополитен Оперы
Дирижёр: Ральф Вайкерт
	<br>
Оперный шедевр Джоаккино Россини «Севильский цирюльник» обошёл все сцены мира, 
арию Фигаро узнают даже дети, а фразы «Фигаро здесь, Фигаро там» и 
«Как бомба, разрываясь, клевета всё потрясает» стали крылатыми выражениями. 
Остроумный Россини, будучи не только прекрасным композитором, но и кулинаром, 
создал уникальный рецепт головокружительной непрекращающейся популярности этой оперы. 
Вот он: семь ярких персонажей, пьянящая любовная интрига, приправленная острыми на язык 
диалогами, всю смесь сверху залить великолепными мелодиями и посыпать виртуозными ансамблями. 
Это итальянская опера о жизнелюбии, ибо автор её, как никто, любил жизнь. 
В ходе постановки зрители настолько вовлечены в эти невообразимые интриги, 
что по завершении остаётся ощущение большого оптимизма и жизненной энергии. 
Каждый момент сценического действия настолько естественен, что характеры героев 
начинают жить по законам этого упоительного мира игры в театр, который так неразрывно переплетается с жизнью.
	<br>
опера
	<br>avi"
169,"2006<br>
постановка самой популярной оперы Моцарта 
ДЕЙСТВИЕ ПЕРВОЕ
В замке графа Альмавивы готовятся к свадьбе его камердинера Фигаро и Сюзанны, камеристки супруги
графа Розины.
Событие это становится причиной многих происшествий, ведь с графом надо держать ухо востро. Взять,
например, его подарок: он отвел молодым комнату, которая соединяет его покои с покоями графини. Не
успеют господа их позвать, как и Фигаро, и Сюзанна тут как тут. Фигаро нравится комната, но Сюзанна…
Что с ней? Она решительно отказывается от этого знака внимания со стороны графа. Где же твоя
всегдашняя сообразительность, Фигаро? Ведь Альмавива наверняка хочет воспользоваться правом первой
ночи! Сюзанне сразу стала ясна настоящая причина графской милости.
Фигаро поражен. Граф после своей женитьбы на Розине объявил об отмене этого обычая. Как бы там ни
было, Фигаро не даст себя провести. Он хорошо служит господину, но за свою честь сумеет постоять.
Браку Фигаро и Сюзанны старается помешать графская экономка Марцелина и ее старый возлюбленный –
доктор Бартоло. Бартоло до сих пор не забыл, как ловкий цирюльник одурачил его, устроив женитьбу
Альмавивы на красавице Розине. Сейчас мстительный старик решил воспользоваться случаем, чтобы
расправиться с Фигаро. В свое время Фигаро одолжил у Марцелины деньги и письменно обязался в случае
неуплаты жениться на ней. Предъявляя иск Марцелины, хитроумный Бартоло рассчитывает расстроить
свадьбу независимого Фигаро, несмотря на то что Марцелина по прежнему волнует его кровь.
Сюзанна не на шутку озабочена создавшимся положением. С интересом слушает она юного пажа Керубино,
повествующего о своей любви к графине. Впрочем, не к ней одной питает он нежные чувства. Юноша
влюблен во всех женщин замка и поэтому частенько попадает в неприятные переделки. Совсем недавно
граф застал его наедине с Барбариной, молоденькой племянницей садовника Антонио, и, разгневавшись,
приказал выгнать юнца из замка. Только заступничество графини может смягчить гнев Альмавивы, и
Керубино просит Сюзанну замолвить за него словечко перед госпожой. Но, как на грех, появляется граф.
Заслышав его приближение, Керубино в испуге прячется за кресло и невольно становится свидетелем
того, как Альмавива испрашивает свидание у Сюзанны. Однако и его светлости приходится последовать
примеру пажа. Не желая, чтобы пришедший учитель пения Базилио застал его наедине с Сюзанной,
Альмавива прячется. Он слышит рассказ Базилио о любви Керубино к графине. Вне себя от негодования
выскакивает граф из своего укрытия и приходит в ярость, увидев Керубино.
Несдобровать бы пажу, если бы не Сюзанна. Намекнув, что Керубино был свидетелем излияний графа,
девушка несколько умерила гнев своего господина. Смущение графа еще больше усиливается, когда ему
приходится выслушать крестьян, явившихся благодарить сеньора за то, что он отменил феодальное право
первой ночи. Крестьян привел в замок Фигаро, который торопится скорее отпраздновать свою свадьбу с
Сюзанной. Альмавиве ничего другого не остается, как разрешить свадьбу и милостиво согласиться быть
на ней гостем. Воспользовавшись замешательством графа, Керубино вымаливает себе прощение. Но он
должен немедленно отправиться в полк, на военную службу. Фигаро демонстрирует избалованному пажу
""ужасы"" военной службы.
	<br>
опера
	<br>avi"
170,"
Год выпуска: 2006
Продолжительность: 01:40:04.080 (150102 frames)
Режиссер: Кирилл Серебренников
	<br>
Молодой человек Валя, закончив университет, 
ради заработка устраивается в милицию, где изображает жертв преступлений 
во время следственных экспериментов. Следственная группа в составе 
харизматичного капитана, вооруженной видеокамерой прапорщицы Люды 
и туповатого сержанта ежедневно вывозит подсудимых на места преступлений, 
где положено восстановить картину трагедии. 
Понятное дело, все эти расследования проводятся для галочки (исход дела предрешен, преступник будет осужден), 
что создает фон легкого абсурда. Дополнительное сумасшествие в происходящее приносят 
сами преступники: пэтэушник Карась показывает, как он хотел зарезать и расчленить 
свою возлюбленную в уличном биотуалете, интеллигент-неврастеник выбросил 
из окна собственную жену, неудачный Ромео кавказской национальности утопил 
любимую девушку в бассейне, еще один представитель малого бизнеса 
ни с того ни с сего застрелил одноклассника в японском ресторане - пульнул из пистолета, как он выразился...
	<br>
Комедия, Детектив
	<br>avi"
171," 
1964
Италия, Франция
Режиссер: 
Пьер Паоло Пазолини
	<br>
В полудокументальной манере с использованием непрофессиональных актеров 
в черно-белом изображении рассказывается о жизни Иисуса Христа - 
мать режиссера снялась в роли Богоматери. 
Сценарий написан по Евангелию от Матфея. Очень необычная и очень сильная картина, 
отмеченная Специальным призом жюри на МКФ в Венеции в 1964 году, 
получившая Большой приз экуменистического общества, действующего от имени Ватикана. 
Иисус в изображении Пазолини кажется гневным, он как бы торопится, быстро и отчетливо 
выговаривая канонический текст, словно осознавая, что времени у него мало. 
Те, кто посмотрит картину, будут удивлены, узнав, что сам режиссер был не только атеистом, 
но и марксистом впридачу. Как будто для того, чтобы подчеркнуть неортодоксальность фильма, 
Пазолини включил в саундтрек американский ""спиричуал"" ""Sometimes I Feel Like a Motherless Child"" 
в исполнении певицы Одетты.
	<br>историческая драма<br>avi"
